Source,Target,Type,Id,Label,Weight,Art der Beziehung
633,26,Directed,0,angestellt bei,1,angestellt bei
634,51,Directed,1,angestellt bei,1,angestellt bei
636,96,Directed,2,studiert an,1,studiert an
636,199,Directed,3,angestellt bei,1,angestellt bei
636,26,Directed,4,angestellt bei,1,angestellt bei
636,254,Directed,5,angestellt bei,1,angestellt bei
637,26,Directed,6,studiert an,1,studiert an
637,44,Directed,8,studiert an,1,studiert an
638,194,Directed,9,angestellt bei,1,angestellt bei
638,50,Directed,10,angestellt bei,1,angestellt bei
638,178,Directed,11,angestellt bei,1,angestellt bei
638,1,Directed,12,angestellt bei,1,angestellt bei
638,195,Directed,13,angestellt bei,1,angestellt bei
638,86,Directed,14,angestellt bei,1,angestellt bei
638,177,Directed,15,angestellt bei,1,angestellt bei
638,145,Directed,16,angestellt bei,1,angestellt bei
639,145,Directed,17,studiert an,1,studiert an
642,63,Directed,18,angestellt bei,1,angestellt bei
642,1,Directed,19,angestellt bei,1,angestellt bei
645,170,Directed,20,angestellt bei,1,angestellt bei
649,170,Directed,21,angestellt bei,1,angestellt bei
650,10,Directed,22,angestellt bei,1,angestellt bei
652,197,Directed,23,angestellt bei,1,angestellt bei
652,231,Directed,24,angestellt bei,1,angestellt bei
652,143,Directed,25,angestellt bei,1,angestellt bei
653,27,Directed,26,angestellt bei,1,angestellt bei
654,255,Directed,27,angestellt bei,1,angestellt bei
654,7,Directed,28,studiert an,1,studiert an
654,12,Directed,29,angestellt bei,1,angestellt bei
657,256,Directed,30,angestellt bei,1,angestellt bei
657,269,Directed,31,studiert an,1,studiert an
658,104,Directed,32,angestellt bei,1,angestellt bei
658,44,Directed,33,studiert an,1,studiert an
659,175,Directed,34,angestellt bei,1,angestellt bei
659,106,Directed,35,studiert an,1,studiert an
659,257,Directed,37,angestellt bei,1,angestellt bei
660,258,Directed,38,angestellt bei,1,angestellt bei
660,259,Directed,39,studiert an,1,studiert an
662,143,Directed,40,angestellt bei,1,angestellt bei
662,270,Directed,41,studiert an,1,studiert an
662,203,Directed,42,angestellt bei,1,angestellt bei
663,273,Directed,43,angestellt bei,1,angestellt bei
664,274,Directed,44,angestellt bei,1,angestellt bei
664,133,Directed,45,studiert an,1,studiert an
664,179,Directed,47,angestellt bei,1,angestellt bei
664,26,Directed,48,studiert an,1,studiert an
664,10,Directed,49,studiert an,1,studiert an
665,203,Directed,51,angestellt bei,1,angestellt bei
665,259,Directed,52,angestellt bei,1,angestellt bei
665,0,Directed,53,studiert an,1,studiert an
665,275,Directed,54,angestellt bei,1,angestellt bei
665,170,Directed,55,angestellt bei,1,angestellt bei
665,102,Directed,56,angestellt bei,1,angestellt bei
665,276,Directed,57,angestellt bei,1,angestellt bei
665,277,Directed,58,angestellt bei,1,angestellt bei
665,278,Directed,59,angestellt bei,1,angestellt bei
665,279,Directed,60,angestellt bei,1,angestellt bei
665,280,Directed,61,angestellt bei,1,angestellt bei
665,281,Directed,62,angestellt bei,1,angestellt bei
665,282,Directed,63,angestellt bei,1,angestellt bei
666,83,Directed,64,angestellt bei,1,angestellt bei
666,72,Directed,65,studiert an,1,studiert an
667,10,Directed,66,studiert an,1,studiert an
667,44,Directed,67,studiert an,1,studiert an
668,35,Directed,69,studiert an,1,studiert an
668,44,Directed,71,studiert an,1,studiert an
669,143,Directed,72,angestellt bei,1,angestellt bei
669,133,Directed,73,angestellt bei,1,angestellt bei
670,137,Directed,74,angestellt bei,1,angestellt bei
672,203,Directed,75,angestellt bei,1,angestellt bei
672,231,Directed,76,angestellt bei,1,angestellt bei
672,1,Directed,77,studiert an,1,studiert an
672,26,Directed,78,angestellt bei,1,angestellt bei
672,48,Directed,79,studiert an,1,studiert an
586,85,Directed,80,angestellt bei,1,angestellt bei
586,222,Directed,82,angestellt bei,1,angestellt bei
586,26,Directed,83,angestellt bei,1,angestellt bei
586,69,Directed,84,angestellt bei,1,angestellt bei
675,133,Directed,85,angestellt bei,1,angestellt bei
677,283,Directed,86,angestellt bei,1,angestellt bei
677,46,Directed,87,angestellt bei,1,angestellt bei
677,8,Directed,88,studiert an,1,studiert an
677,26,Directed,89,angestellt bei,1,angestellt bei
677,260,Directed,90,angestellt bei,1,angestellt bei
678,261,Directed,91,angestellt bei,1,angestellt bei
678,128,Directed,92,angestellt bei,1,angestellt bei
679,246,Directed,93,studiert an,1,studiert an
680,29,Directed,94,angestellt bei,1,angestellt bei
681,139,Directed,95,angestellt bei,1,angestellt bei
681,231,Directed,96,angestellt bei,1,angestellt bei
684,202,Directed,97,angestellt bei,1,angestellt bei
684,154,Directed,98,studiert an,1,studiert an
684,214,Directed,100,angestellt bei,1,angestellt bei
684,175,Directed,101,angestellt bei,1,angestellt bei
684,170,Directed,102,angestellt bei,1,angestellt bei
685,199,Directed,103,angestellt bei,1,angestellt bei
685,47,Directed,104,angestellt bei,1,angestellt bei
685,0,Directed,105,studiert an,1,studiert an
685,143,Directed,106,angestellt bei,1,angestellt bei
685,9,Directed,107,angestellt bei,1,angestellt bei
685,202,Directed,108,angestellt bei,1,angestellt bei
685,203,Directed,109,angestellt bei,1,angestellt bei
685,170,Directed,110,angestellt bei,1,angestellt bei
685,204,Directed,111,angestellt bei,1,angestellt bei
685,197,Directed,112,angestellt bei,1,angestellt bei
685,282,Directed,113,angestellt bei,1,angestellt bei
686,35,Directed,114,angestellt bei,1,angestellt bei
686,7,Directed,115,studiert an,1,studiert an
688,169,Directed,116,angestellt bei,1,angestellt bei
688,17,Directed,117,angestellt bei,1,angestellt bei
688,8,Directed,118,studiert an,1,studiert an
688,143,Directed,119,angestellt bei,1,angestellt bei
688,262,Directed,120,angestellt bei,1,angestellt bei
688,181,Directed,121,angestellt bei,1,angestellt bei
688,263,Directed,122,angestellt bei,1,angestellt bei
688,284,Directed,123,angestellt bei,1,angestellt bei
689,143,Directed,124,angestellt bei,1,angestellt bei
689,154,Directed,125,studiert an,1,studiert an
689,285,Directed,126,angestellt bei,1,angestellt bei
689,204,Directed,127,angestellt bei,1,angestellt bei
689,170,Directed,128,angestellt bei,1,angestellt bei
