Id,Label,Name,Wikidata ID,Entitätstyp,Geburtsdatum,Sterbedatum,GND ID
0,École Normale Supérieure,École Normale Supérieure,https://www.wikidata.org/wiki/Q83259,Institution,,,https://d-nb.info/gnd/36276-1
1,Heidelberg University,Heidelberg University,https://www.wikidata.org/wiki/Q151510,Institution,,,https://d-nb.info/gnd/2024349-2
2,École du Louvre,École du Louvre,https://www.wikidata.org/wiki/Q273534,Institution,,,https://d-nb.info/gnd/84618-1
3,Protestant Faculty of Theology in Paris,Protestant Faculty of Theology in Paris,https://www.wikidata.org/wiki/Q3064314,Institution,,,
4,Faculty of Arts of Paris,Faculty of Arts of Paris,https://www.wikidata.org/wiki/Q3064325,Institution,,,
5,Leiden University,Leiden University,https://www.wikidata.org/wiki/Q156598,Institution,,,https://d-nb.info/gnd/1025656059
6,Utrecht University,Utrecht University,https://www.wikidata.org/wiki/Q221653,Institution,,,https://d-nb.info/gnd/36950-0
7,Yale University,Yale University,https://www.wikidata.org/wiki/Q49112,Institution,,,https://d-nb.info/gnd/36828-3
8,University of Vienna,University of Vienna,https://www.wikidata.org/wiki/Q165980,Institution,,,https://d-nb.info/gnd/2024703-5
9,École pratique des hautes études,École pratique des hautes études,https://www.wikidata.org/wiki/Q273631,Institution,,,https://d-nb.info/gnd/1003491-2
10,Ludwig Maximilian University of Munich,Ludwig Maximilian University of Munich,https://www.wikidata.org/wiki/Q55044,Institution,,,https://d-nb.info/gnd/2002585-3
11,University of Florence,University of Florence,https://www.wikidata.org/wiki/Q820887,Institution,,,https://d-nb.info/gnd/41068-8
12,University of Chicago,University of Chicago,https://www.wikidata.org/wiki/Q131252,Institution,,,https://d-nb.info/gnd/1389-4
13,American University of Beirut,American University of Beirut,https://www.wikidata.org/wiki/Q469482,Institution,,,https://d-nb.info/gnd/39395-2
14,University of Baghdad,University of Baghdad,https://www.wikidata.org/wiki/Q550376,Institution,,,https://d-nb.info/gnd/80396-0
15,Brandeis University,Brandeis University,https://www.wikidata.org/wiki/Q49119,Institution,,,https://d-nb.info/gnd/4239456-9
