Ref,Name
https://www.wikidata.org/wiki/Q109158,Albrecht Goetze
https://www.wikidata.org/wiki/Q94873664,Albert Schott
https://www.wikidata.org/wiki/Q115000,Heinrich Zimmern
https://www.wikidata.org/wiki/Q4285160,Stephen Herbert Langdon
https://www.wikidata.org/wiki/Q52150040,Cyril John Gadd
https://www.wikidata.org/wiki/Q12213939,Sébastien Ronzevalle
https://www.wikidata.org/wiki/Q123496,Hans Ehelolf
https://www.wikidata.org/wiki/Q23562017,Johannes Hehn
https://www.wikidata.org/wiki/Q15449583,Hans-Siegfried Schuster
https://www.wikidata.org/wiki/Q110089412,Alfred Pohl
https://www.wikidata.org/wiki/Q72333,Johannes Friedrich
https://www.wikidata.org/wiki/Q1403449,Felix Ernst Peiser
https://www.wikidata.org/wiki/Q114526,Paul Koschaker
https://www.wikidata.org/wiki/Q124897,Anton Moortgat
https://www.wikidata.org/wiki/Q958310,Henri Frankfort
https://www.geonames.org/2879137/kreisfreie-stadt-leipzig.html,Leipzig
https://www.geonames.org/294640/state-of-israel.html,Israel
https://www.geonames.org/170017/hamah.html,Hamah
https://www.wikidata.org/wiki/Q1206012,Deutschland
https://www.geonames.org/2643743/london.html,London
https://www.geonames.org/2751772/gemeente-leiden.html,Leiden
https://www.geonames.org/8505031/czechoslovakia.html,Tschechoslowakei
https://www.geonames.org/2782113/republic-of-austria.html,Österreich
https://www.geonames.org/798544/republic-of-poland.html,Polen
https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,England
https://www.geonames.org/3169070/rome.html,Rom
https://www.geonames.org/2873759/marburg-an-der-lahn.html,Marburg
https://d-nb.info/570158052,Falkenstein/Haupttypen der sumerischen Beschwörung
https://d-nb.info/992536693,Landsberger/Die serie ana ittišu
https://d-nb.info/365039365,Landsberger/Fauna des alten Mesopotamien
https://d-nb.info/760253439,Zimmern/BBR
https://d-nb.info/760222088,Thureau-Dangin/Rituels accadiens
https://d-nb.info/368750221,Zimmern/Babylonisches Neujahrsfest 2
https://d-nb.info/740736582,Landsberger/Serie Ur-e-a= nâqu
https://d-nb.info/010053964,MDOG
https://www.wikidata.org/wiki/Q15762062,RA
MFOB,MFOB
https://d-nb.info/01262635X,ZA
https://d-nb.info/gnd/1030650-X,International Congress of Orientalists
https://www.wikidata.org/wiki/Q451079,Sächsische Akademie der Wissenschaften
assyrischen Reiches,Assyrisches Reich
https://pleiades.stoa.org/places/893945,Assur
https://pleiades.stoa.org/places/668295,Ugarit
https://pleiades.stoa.org/places/874621,Ninive
https://pleiades.stoa.org/places/893951,Babylon
https://www.wikidata.org/wiki/Q214672,Enlil
Māratnāri,Mārat-nāri
https://www.wikidata.org/wiki/Q190123,Marduk
https://www.wikidata.org/wiki/Q369938,Ninlil
https://www.wikidata.org/wiki/Q685878,Assur
Serua,Serua
Marat-nari,Mārat-nāri
https://www.wikidata.org/wiki/Q1809764,Nanaya
Orientalischen und am Sprachwissenschaftlichen (indogermanistischen) Seminar,Orientalisches und Sprachwissenschaftliches (indogermanistisches) Seminar Universität Heidelberg
https://cdli.ucla.edu/P285665,Sargons 8. Feldzug
https://cdli.ucla.edu/P369116,KAR 139
https://cdli.ucla.edu/P282609,KAR 135+
"RM. II, 36","Rm 2, 36"
Harra Tafel 1,Ura=hubullu Tafel 1
https://cdli.ucla.edu/P336233,KAR 215+
https://cdli.ucla.edu/P398551,K 10209
https://cdli.ucla.edu/P395012,K 3438a
https://cdli.ucla.edu/P395027,K 3455
https://cdli.ucla.edu/P336231,KAR 146
lu=amelu,Lu A
https://cdli.ucla.edu/P343020,"VS 10, 215"
