,Arbeit,Texte,Rituale,Frage,Brief
1929-12-09_Hartmann_Landsberger,0.0,0.0,0.0,2.02,0.0
1931-09-08_Kunstmann_Landsberger,1.54,0.0,0.0,0.0,0.0
1931-09-21_Kunstmann_Landsberger,0.0,0.0,0.0,0.0,1.5
1931-11-24_Kunstmann_Landsberger,1.52,0.0,0.0,0.0,0.0
1936-05-09_Mueller_Landsberger,4.6,0.0,0.0,0.0,0.0
1936-11-09_Mueller_Landsberger,2.36,1.42,0.0,0.0,0.0
1936-11-11_Mueller_Landsberger,1.7,1.46,1.46,1.22,0.97
1936-11-27_Mueller_Landsberger,1.38,0.0,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,1.65,0.0,0.0,0.0,0.0
1937-01-29_Mueller_Landsberger,1.49,1.87,0.0,0.0,0.0
1937-02-09_Landsberger_Mueller,2.61,0.0,0.0,0.0,0.0
1937-03-05_Mueller_Landsberger,0.0,0.0,0.0,0.0,1.34
1937-04-13_Landsberger_Mueller,1.94,0.0,0.0,1.46,0.0
1937-04-29_Mueller_Landsberger,2.51,1.57,0.0,0.0,0.0
1937-05-03_Landsberger_Mueller,2.86,0.0,0.0,0.0,0.0
1937-05-08_Landsberger_Mueller,2.17,0.0,0.0,0.0,0.0
1937-05-14_Landsberger_Mueller,2.62,0.0,0.0,0.0,1.75
1937-05-18_Mueller_Landsberger,4.69,0.0,0.0,0.0,0.0
1937-05-26_Mueller_Landsberger,1.49,0.0,0.0,1.49,0.0
1937-06-01_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.78
1937-06-19_Landsberger_Mueller,1.36,0.0,0.0,0.0,0.0
1937-07-19_Mueller_Landsberger,2.08,2.78,0.0,0.0,0.0
1937-07-25_Mueller_Landsberger,1.79,0.0,0.0,0.0,0.0
1937-11-22_Mueller_Landsberger,2.31,0.0,0.0,0.0,0.0
1937-12-12_Landsberger_Mueller,1.77,0.0,0.0,0.0,0.0
1938-01-20_Mueller_Landsberger,3.94,0.0,0.0,0.0,0.0
1938-01-27_Mueller_Landsberger,0.0,1.47,0.0,0.0,0.0
1938-08-15_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.13
Summe,50.38,10.57,1.46,6.19,10.47
