,bitte,Pohl,Berichtigungsliste,Rom,beigegeben
1936-05-05_Landsberger_Mueller,1.32,0.0,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,2.48,0.0,0.0,0.0,0.0
1936-12-17_Landsberger_Mueller,2.9,0.0,0.0,0.0,0.0
1937-03-24_Mueller_Landsberger,0.0,1.69,0.0,0.0,0.0
1937-03-29_Landsberger_Mueller,3.03,0.0,0.0,0.0,0.0
1937-04-01_Landsberger_Mueller,0.0,7.89,0.0,0.0,0.0
1937-04-06_Landsberger_Mueller,2.07,1.38,1.38,1.38,1.38
1937-04-07_Mueller_Landsberger,0.0,2.88,0.0,0.0,0.0
1937-04-16_Mueller_Landsberger,0.0,2.89,0.0,0.0,0.0
1937-05-08_Landsberger_Mueller,1.09,0.0,0.0,0.0,0.0
1937-06-19_Landsberger_Mueller,2.72,0.0,0.0,0.0,0.0
1938-01-20_Mueller_Landsberger,0.0,3.15,0.0,0.0,0.0
1938-08-04_Landsberger_Mueller,1.4,0.0,0.0,0.0,0.0
Summe,17.01,19.88,1.38,1.38,1.38
