,fristgerecht,Brief,Sachen,Schuster,überraschend
1931-09-21_Kunstmann_Landsberger,0.0,1.5,0.0,0.0,0.0
1936-05-05_Landsberger_Mueller,0.0,0.0,0.0,1.32,0.0
1936-05-09_Mueller_Landsberger,0.0,0.0,0.0,2.87,0.0
1936-11-07_Landsberger_Mueller,0.0,0.0,0.0,2.14,0.0
1936-11-11_Mueller_Landsberger,0.0,0.97,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,0.0,0.0,0.0,2.48,0.0
1936-12-17_Landsberger_Mueller,0.0,0.0,0.0,4.35,0.0
1937-02-09_Landsberger_Mueller,0.0,0.0,0.0,1.74,0.0
1937-03-01_Landsberger_Mueller,0.0,0.0,0.0,2.38,0.0
1937-03-05_Mueller_Landsberger,0.0,1.34,0.0,2.35,0.0
1937-03-29_Landsberger_Mueller,0.0,0.0,0.0,1.52,0.0
1937-04-07_Mueller_Landsberger,0.0,0.0,0.0,1.57,0.0
1937-04-13_Landsberger_Mueller,0.0,0.0,0.0,1.46,0.0
1937-04-16_Mueller_Landsberger,0.0,0.0,0.0,4.62,0.0
1937-05-03_Landsberger_Mueller,0.0,0.0,0.0,5.71,0.0
1937-05-08_Landsberger_Mueller,0.0,0.0,0.0,1.09,0.0
1937-05-14_Landsberger_Mueller,0.0,1.75,0.0,3.06,0.0
1937-05-18_Mueller_Landsberger,0.0,0.0,0.0,3.12,0.0
1937-05-26_Mueller_Landsberger,0.0,0.0,0.0,3.73,0.0
1937-06-01_Landsberger_Mueller,5.56,2.78,2.78,2.78,2.78
1937-06-05_Mueller_Landsberger,0.0,0.0,0.0,2.4,0.0
1937-07-25_Mueller_Landsberger,0.0,0.0,0.0,3.57,0.0
1937-11-22_Mueller_Landsberger,0.0,0.0,0.0,1.65,0.0
1937-12-12_Landsberger_Mueller,0.0,0.0,0.0,2.65,0.0
1938-01-20_Mueller_Landsberger,0.0,0.0,0.0,1.57,0.0
1938-04-20_Mueller_Landsberger,0.0,0.0,0.0,8.57,0.0
1938-08-15_Landsberger_Mueller,0.0,2.13,0.0,0.0,0.0
Summe,5.56,10.47,2.78,68.7,2.78
