,Texte,Arbeit,Kopie,VAT,Vergleichung
1931-09-08_Kunstmann_Landsberger,0.0,1.54,0.0,0.0,0.0
1931-11-24_Kunstmann_Landsberger,0.0,1.52,0.0,0.0,0.0
1936-05-09_Mueller_Landsberger,0.0,4.6,0.0,0.0,0.0
1936-11-09_Mueller_Landsberger,1.42,2.36,0.0,0.0,0.0
1936-11-11_Mueller_Landsberger,1.46,1.7,0.0,0.0,0.0
1936-11-27_Mueller_Landsberger,0.0,1.38,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,0.0,1.65,0.0,0.0,0.0
1936-12-28_Landsberger_Mueller,0.0,0.0,1.81,0.0,0.0
1937-01-29_Mueller_Landsberger,1.87,1.49,0.0,0.0,0.0
1937-02-09_Landsberger_Mueller,0.0,2.61,0.0,0.0,0.0
1937-04-13_Landsberger_Mueller,0.0,1.94,0.0,0.0,0.0
1937-04-29_Mueller_Landsberger,1.57,2.51,0.0,0.0,0.0
1937-05-03_Landsberger_Mueller,0.0,2.86,0.0,0.0,0.0
1937-05-08_Landsberger_Mueller,0.0,2.17,0.0,0.0,0.0
1937-05-14_Landsberger_Mueller,0.0,2.62,0.0,0.0,0.0
1937-05-18_Mueller_Landsberger,0.0,4.69,0.0,0.0,0.0
1937-05-26_Mueller_Landsberger,0.0,1.49,0.0,0.0,0.0
1937-06-19_Landsberger_Mueller,0.0,1.36,0.0,0.0,0.0
1937-07-19_Mueller_Landsberger,2.78,2.08,1.39,1.39,1.39
1937-07-25_Mueller_Landsberger,0.0,1.79,0.0,0.0,0.0
1937-11-22_Mueller_Landsberger,0.0,2.31,0.0,0.0,0.0
1937-12-12_Landsberger_Mueller,0.0,1.77,0.0,0.0,0.0
1938-01-20_Mueller_Landsberger,0.0,3.94,0.0,0.0,0.0
1938-01-27_Mueller_Landsberger,1.47,0.0,0.0,0.0,0.0
Summe,10.57,50.38,3.2,1.39,1.39
