,Text,Meissner,Relief,König,Zunaechst
1929-07-10_Mueller_Landsberger,2.52,0.0,0.0,5.66,0.0
1936-11-27_Mueller_Landsberger,2.07,0.0,0.0,0.0,0.0
1937-01-29_Mueller_Landsberger,2.99,0.0,0.0,0.0,0.0
1937-04-07_Mueller_Landsberger,2.36,0.0,0.0,0.0,0.0
1937-04-29_Mueller_Landsberger,1.88,0.0,0.0,0.0,0.0
1937-05-18_Mueller_Landsberger,2.34,0.0,0.0,0.0,0.0
1937-06-19_Landsberger_Mueller,1.36,0.0,0.0,0.0,0.0
1937-06-25_Mueller_Landsberger,1.69,0.0,0.0,0.0,0.0
1937-10-08_Landsberger_Mueller,2.41,2.41,2.41,2.41,1.2
1938-01-20_Mueller_Landsberger,1.57,0.0,0.0,0.0,0.0
Summe,21.19,2.41,2.41,8.07,1.2
