,Sch,fahren,Leipzig,wissen,bitte
1932-03-22_Pedersen_Landsberger,0.0,0.0,1.69,0.0,0.0
1936-05-05_Landsberger_Mueller,0.0,0.0,0.0,0.0,1.32
1936-11-07_Landsberger_Mueller,1.43,0.0,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.48
1936-12-17_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.9
1937-02-09_Landsberger_Mueller,6.09,0.0,0.0,0.0,0.0
1937-03-29_Landsberger_Mueller,0.0,0.0,0.0,0.0,3.03
1937-04-06_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.07
1937-05-03_Landsberger_Mueller,0.0,0.0,1.43,0.0,0.0
1937-05-08_Landsberger_Mueller,0.0,0.0,0.0,0.0,1.09
1937-06-19_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.72
1937-07-19_Landsberger_Mueller,0.0,0.0,1.85,0.0,0.0
1938-04-20_Mueller_Landsberger,0.0,0.0,4.29,0.0,0.0
1938-05-18_Mueller_Landsberger,0.0,0.0,4.65,0.0,0.0
1938-08-04_Landsberger_Mueller,2.8,1.4,1.4,1.4,1.4
Summe,10.32,1.4,15.31,1.4,17.01
